Point,Test,fW,current,ind,Rd,Cs,Rs,Output,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,"dB20(VF(""/VACcon_p_1""))","dB20(VF(""/VACout_p_1""))","dB20(VF(""/VACout_p_2""))",Stage 1 Region,Stage 2 Region
421,ECE740_tb_channel_CTLE_ML_1,5.66E-06,0.001486,2.79E-10,478.7,9.01E-13,933.2,,-0.01966,-7.028,-9.202,-6.588,-6.105,3.345,-9.101,-9.772,-1.554,-13.18,-16.68,-11.73,-18.88,-26.94,-26.99,0,0,0,1,2
422,ECE740_tb_channel_CTLE_ML_1,2.36E-06,0.001198,2.83E-09,111.9,7.08E-13,215.7,,-0.01974,-10.14,-20.32,-6.579,-12.52,-18.55,-9.068,-12.45,-15.94,-13.13,-11.91,-10.85,-18.81,-10,-2.329,0,0,0,2,2
423,ECE740_tb_channel_CTLE_ML_1,3.96E-06,0.00151,2.87E-10,349.6,1.00E-13,355.8,,-0.0197,-1.256,-1.966,-6.579,-6.439,-5.743,-9.074,-7.069,-4.377,-13.15,-10.29,-6.221,-18.88,-18.48,-16.42,0,0,0,2,2
424,ECE740_tb_channel_CTLE_ML_1,8.22E-06,0.000703,2.70E-09,230.5,3.34E-13,443.7,,-0.01967,-4.64,-9.294,-6.583,-3.881,-1.223,-9.107,-6.194,-3.16,-13.18,-12.99,-12.59,-18.88,-22.38,-25.82,0,0,0,2,2
425,ECE740_tb_channel_CTLE_ML_1,8.69E-06,0.002269,2.92E-09,229.2,7.67E-13,451.9,,-0.01965,-3.992,-7.534,-6.6,-0.6462,6.582,-9.123,-5.784,-0.7152,-13.18,-14.04,-13.01,-18.87,-24.4,-28.05,0,0,0,2,2
426,ECE740_tb_channel_CTLE_ML_1,8.92E-06,0.001302,2.18E-09,1385,1.20E-13,977.8,,-0.01956,-48.58,-43.61,-6.6,-38.59,-27.49,-9.11,-42.61,-35.14,-13.17,-50.52,-49.13,-18.87,-60.97,-65.7,0,0,0,1,2
427,ECE740_tb_channel_CTLE_ML_1,9.88E-06,0.0006136,2.90E-09,223.8,8.95E-13,173.9,,-0.01962,-0.5681,-1.166,-6.598,-3.812,-1.023,-9.113,-8.332,-7.485,-13.17,-15.73,-18.2,-18.87,-25.12,-31.46,0,0,0,2,2
428,ECE740_tb_channel_CTLE_ML_1,6.57E-06,0.0005835,2.15E-09,32.09,2.43E-13,685.7,,-0.01971,-24.52,-49.05,-6.576,-18.15,-29.79,-9.076,-13.73,-18.52,-13.16,-12.08,-11.23,-18.89,-18.09,-16.84,0,0,0,2,2
429,ECE740_tb_channel_CTLE_ML_1,5.60E-06,0.001837,2.71E-09,1209,8.33E-13,1067,,-0.01964,-51.71,-47.53,-6.587,-59.77,-45.91,-9.094,-57.95,-46.28,-13.17,-58.41,-50.93,-18.88,-62.2,-60.1,0,0,0,1,2
430,ECE740_tb_channel_CTLE_ML_1,5.94E-06,0.001367,2.84E-09,1042,1.29E-13,1468,,-0.01963,-39.71,-39.79,-6.588,-47.9,-37.19,-9.096,-50.78,-39.14,-13.17,-54.86,-47.61,-18.88,-60.55,-59.01,0,0,0,1,2
431,ECE740_tb_channel_CTLE_ML_1,2.86E-06,0.0005978,1.91E-10,554.4,1.54E-14,157.1,,-0.01971,3.339,6.729,-6.581,-3.264,0.09194,-9.074,-5.879,-2.623,-13.14,-10.38,-7.491,-18.84,-17.34,-15.61,0,0,0,2,2
432,ECE740_tb_channel_CTLE_ML_1,7.99E-06,0.002458,4.69E-10,442,8.72E-13,1479,,-0.01959,-28.43,-33.12,-6.597,-29.64,-19.41,-9.108,-34.18,-27.57,-13.17,-42.17,-40.8,-18.87,-52.9,-57.33,0,0,0,1,2
433,ECE740_tb_channel_CTLE_ML_1,2.71E-06,0.002127,1.72E-09,878.8,1.90E-13,822.5,,-0.01971,-37.97,-36.67,-6.581,-45.27,-37.16,-9.074,-47.58,-38.1,-13.14,-50.63,-41.15,-18.84,-54.12,-46.11,0,0,0,1,2
434,ECE740_tb_channel_CTLE_ML_1,8.98E-06,0.001158,2.31E-09,892.6,4.77E-13,327.5,,-0.01956,-27.32,-19.39,-6.6,-35.7,-24.66,-9.11,-40.73,-34.09,-13.17,-48.95,-47.98,-18.87,-59.18,-64.05,0,0,0,1,2
435,ECE740_tb_channel_CTLE_ML_1,9.43E-06,0.002419,2.08E-09,964.7,4.00E-14,294.6,,-0.01956,-52.19,-42.99,-6.604,-40.12,-32.85,-9.111,-40.32,-36.22,-13.17,-44.6,-45.37,-18.86,-53.05,-59.48,0,0,0,1,2
436,ECE740_tb_channel_CTLE_ML_1,8.10E-06,0.001245,1.23E-09,1430,4.90E-14,800.3,,-0.01958,-47.82,-41.52,-6.597,-35.06,-27.37,-9.107,-36.66,-29.36,-13.17,-42.84,-40.25,-18.87,-52.97,-56.45,0,0,0,1,2
437,ECE740_tb_channel_CTLE_ML_1,8.42E-06,0.001157,1.67E-09,508.3,6.30E-14,1076,,-0.01965,-4.808,-8.253,-6.583,-7.126,-5.787,-9.107,-7.99,-3.001,-13.18,-15.53,-13.88,-18.87,-26.8,-31.24,0,0,0,2,2
438,ECE740_tb_channel_CTLE_ML_1,6.10E-06,0.002423,2.02E-09,712.6,7.12E-13,83.11,,-0.01963,-38.09,-27.44,-6.589,-46.08,-34.77,-9.098,-49.76,-39.89,-13.17,-54.94,-49.09,-18.88,-61.42,-60.84,0,0,0,1,2
439,ECE740_tb_channel_CTLE_ML_1,5.02E-06,0.002261,1.40E-09,627.5,3.25E-14,894.7,,-0.01965,-34.14,-34.96,-6.585,-38.79,-38.33,-9.089,-39.43,-36.49,-13.16,-43.08,-37.01,-18.88,-50.5,-47.2,0,0,0,1,2
440,ECE740_tb_channel_CTLE_ML_1,4.31E-06,0.001303,2.64E-10,1332,6.40E-13,112.7,,-0.01967,-40.4,-28.32,-6.583,-48.32,-35.3,-9.084,-50.9,-38.45,-13.16,-53.75,-43.95,-18.88,-57.77,-52.63,0,0,0,1,2
441,ECE740_tb_channel_CTLE_ML_1,7.07E-06,0.002293,1.15E-09,551.1,6.33E-13,500,,-0.0196,-30.79,-28.38,-6.592,-36.29,-25.24,-9.104,-40.19,-31.76,-13.17,-47.33,-43.75,-18.88,-57.1,-59.11,0,0,0,1,2
442,ECE740_tb_channel_CTLE_ML_1,9.16E-06,0.002243,1.30E-10,325.3,8.97E-13,459.9,,-0.01959,-7.281,-7.988,-6.605,-9.375,-1.18,-9.115,-15.13,-10.96,-13.17,-24.14,-25.47,-18.87,-35.52,-42.77,0,0,0,1,2
443,ECE740_tb_channel_CTLE_ML_1,3.72E-06,0.002436,1.90E-09,220,1.50E-13,855.3,,-0.01972,-9.844,-19.35,-6.575,-8.758,-10.58,-9.068,-7.724,-5.954,-13.15,-9.505,-5.155,-18.89,-15.07,-9.29,0,0,0,2,2
444,ECE740_tb_channel_CTLE_ML_1,5.30E-06,0.0005666,2.36E-09,1134,3.66E-13,1394,,-0.01967,-3.356,-2.43,-6.586,-3.091,8.839,-9.098,-6.713,4.098,-13.17,-13.41,-5.98,-18.88,-23.34,-20.97,0,0,0,1,2
445,ECE740_tb_channel_CTLE_ML_1,1.10E-06,0.002354,8.77E-10,974.1,4.75E-13,1148,,-0.01975,-33.98,-36.93,-6.58,-37.34,-34.22,-9.069,-39.7,-36.51,-13.13,-43.4,-40.27,-18.82,-47.94,-45.14,0,0,0,1,2
446,ECE740_tb_channel_CTLE_ML_1,6.66E-06,0.001271,1.96E-09,593.5,6.02E-13,540.9,,-0.01963,-8.338,-6.135,-6.591,-11.4,-0.7585,-9.104,-15.31,-6.576,-13.18,-22.6,-18.11,-18.88,-33.02,-33.77,0,0,0,1,2
447,ECE740_tb_channel_CTLE_ML_1,9.61E-06,0.001523,1.06E-10,137.7,3.56E-13,1045,,-0.01969,-13.74,-27.48,-6.584,-5.325,-4.077,-9.112,-9.454,-9.786,-13.17,-18.73,-24.35,-18.86,-30.26,-41.78,0,0,0,2,2
448,ECE740_tb_channel_CTLE_ML_1,6.08E-06,0.002025,5.75E-10,1244,9.40E-13,200.1,,-0.01964,-52.03,-40.72,-6.589,-58.52,-45.01,-9.098,-58.11,-47.24,-13.17,-59.41,-53.21,-18.88,-63.72,-63.17,0,0,0,1,2
449,ECE740_tb_channel_CTLE_ML_1,6.54E-06,0.00119,6.34E-10,1454,9.37E-13,1028,,-0.01962,-47.28,-41.29,-6.59,-56.46,-42.58,-9.101,-56.77,-46.12,-13.17,-58.75,-53.06,-18.88,-63.44,-63.53,0,0,0,1,2
450,ECE740_tb_channel_CTLE_ML_1,3.26E-06,0.002291,2.56E-09,324.1,1.81E-13,559.4,,-0.01971,-6.579,-10.65,-6.577,-8.201,-6.834,-9.073,-8.579,-4.535,-13.15,-11.51,-5.463,-18.88,-17.75,-10.17,0,0,0,1,2
451,ECE740_tb_channel_CTLE_ML_1,7.73E-06,0.0005544,9.06E-10,491.6,7.00E-13,1140,,-0.01968,-3.69,-7.37,-6.596,0.6678,8.211,-9.112,-4.485,0.6114,-13.18,-12.95,-12.35,-18.87,-23.94,-28.84,0,0,0,2,2
452,ECE740_tb_channel_CTLE_ML_1,5.26E-06,0.001074,2.32E-09,998.4,1.01E-13,560.6,,-0.01965,-26.21,-20.93,-6.585,-33.97,-25.69,-9.09,-37.93,-27.62,-13.17,-43.9,-35.67,-18.88,-52.24,-49.19,0,0,0,1,2
453,ECE740_tb_channel_CTLE_ML_1,9.98E-06,0.002471,1.13E-09,1085,1.73E-13,292.8,,-0.01959,-60.46,-50.56,-6.606,-42.82,-33.78,-9.111,-46.08,-41.27,-13.17,-53.86,-54.91,-18.86,-64.29,-71.38,0,0,0,1,2
454,ECE740_tb_channel_CTLE_ML_1,9.76E-06,0.002288,2.95E-09,769.4,8.10E-13,610.6,,-0.01954,-45.65,-41.43,-6.605,-59.17,-48.55,-9.112,-60.8,-55.42,-13.17,-64.3,-64.69,-18.86,-69.77,-75.92,0,0,0,1,2
455,ECE740_tb_channel_CTLE_ML_1,3.86E-06,0.0005089,1.80E-09,912.6,4.90E-13,33.01,,-0.01965,8.843,18.23,-6.584,2.067,11.38,-9.088,-1.019,8.027,-13.16,-6.772,1.148,-18.88,-15.61,-10.74,0,0,0,2,2
456,ECE740_tb_channel_CTLE_ML_1,7.93E-06,0.001241,2.39E-09,781.1,7.94E-13,1118,,-0.01959,-25.16,-24.34,-6.596,-29.1,-17.39,-9.107,-33.54,-25.64,-13.17,-41.39,-38.73,-18.87,-51.97,-54.95,0,0,0,1,2
457,ECE740_tb_channel_CTLE_ML_1,5.11E-06,0.0008258,7.64E-10,1143,7.17E-13,913.7,,-0.01966,-22.03,-18.04,-6.585,-26.43,-13.67,-9.089,-29.48,-18.11,-13.16,-35.18,-27.2,-18.88,-44.18,-41.29,0,0,0,1,2
458,ECE740_tb_channel_CTLE_ML_1,5.11E-06,0.002392,7.45E-10,36.62,4.56E-13,88.82,,-0.0197,-12.81,-25.68,-6.58,-17.59,-28.7,-9.077,-17.45,-25.94,-13.15,-17.93,-22.87,-18.88,-20.94,-23.11,0,0,0,2,2
459,ECE740_tb_channel_CTLE_ML_1,9.08E-06,0.001644,2.70E-09,979.8,7.51E-13,467,,-0.01955,-43.54,-36.41,-6.602,-56.89,-45.39,-9.111,-59.05,-52.46,-13.17,-62.7,-61.82,-18.87,-68.22,-73.19,0,0,0,1,2
460,ECE740_tb_channel_CTLE_ML_1,3.59E-06,0.0008348,2.48E-09,1004,2.85E-14,1147,,-0.01969,-14.15,-13.51,-6.581,-20.31,-18.21,-9.077,-22.28,-17.64,-13.15,-26.44,-18.5,-18.86,-33.64,-26.36,0,0,0,1,2
461,ECE740_tb_channel_CTLE_ML_1,5.38E-06,0.0006377,1.61E-09,1005,5.74E-13,386,,-0.01964,1.224,7.921,-6.588,-2.801,8.665,-9.099,-6.45,3.881,-13.17,-13.26,-6.268,-18.88,-23.32,-21.38,0,0,0,1,2
462,ECE740_tb_channel_CTLE_ML_1,7.91E-06,0.001682,1.59E-09,403.7,7.49E-13,205.5,,-0.01959,-0.939,3.635,-6.599,-5.492,3.374,-9.115,-10.4,-4.044,-13.18,-18.84,-17.24,-18.87,-29.71,-33.37,0,0,0,1,2
463,ECE740_tb_channel_CTLE_ML_1,8.15E-06,0.002221,6.50E-10,1348,9.84E-13,1499,,-0.01972,-40.34,-36.03,-6.601,-58.08,-45.87,-9.109,-59.89,-52.31,-13.17,-63.26,-61.29,-18.87,-68.65,-72.63,0,0,0,1,2
464,ECE740_tb_channel_CTLE_ML_1,6.67E-06,0.0007472,8.12E-10,1022,8.63E-13,690.6,,-0.01963,-11.12,-6.237,-6.59,-15.57,-3.445,-9.101,-19.4,-9.979,-13.17,-26.5,-21.73,-18.88,-36.9,-37.82,0,0,0,1,2
465,ECE740_tb_channel_CTLE_ML_1,8.40E-06,0.001986,1.03E-09,240.1,3.18E-13,278.2,,-0.01963,-0.9324,-1.551,-6.588,-2.907,1.362,-9.116,-6.162,-2.072,-13.18,-14.8,-15.23,-18.87,-25.62,-31.2,0,0,0,2,2
466,ECE740_tb_channel_CTLE_ML_1,6.06E-06,0.002417,1.32E-09,1064,5.47E-13,234.4,,-0.01965,-51.53,-41.58,-6.589,-54.84,-41.95,-9.098,-56.1,-45.38,-13.17,-58.73,-52.61,-18.88,-63.54,-63.04,0,0,0,1,2
467,ECE740_tb_channel_CTLE_ML_1,1.50E-06,0.002061,1.84E-09,499.5,5.30E-13,987.6,,-0.01974,-11.04,-17.45,-6.58,-12.21,-12.2,-9.07,-14.55,-14.35,-13.13,-18.35,-17.81,-18.82,-23.28,-21.66,0,0,0,2,2
468,ECE740_tb_channel_CTLE_ML_1,1.02E-06,0.00106,4.84E-10,1262,9.88E-13,1335,,-0.01975,-22.34,-21.81,-6.58,-26.56,-20.91,-9.069,-29.04,-23.43,-13.13,-33.1,-27.67,-18.82,-38.78,-33.99,0,0,0,1,2
469,ECE740_tb_channel_CTLE_ML_1,6.80E-06,0.0009233,4.20E-10,1389,1.25E-13,680.8,,-0.01961,-37.1,-30.32,-6.591,-44.27,-33.15,-9.101,-47.7,-37.44,-13.17,-53.43,-48.17,-18.88,-60.88,-61.6,0,0,0,1,2
470,ECE740_tb_channel_CTLE_ML_1,6.06E-06,0.002016,6.92E-10,654.8,7.96E-13,567.5,,-0.01963,-32.17,-29.3,-6.588,-37.27,-25.66,-9.097,-40.65,-30.98,-13.17,-46.93,-41.41,-18.88,-55.97,-55.86,0,0,0,1,2
471,ECE740_tb_channel_CTLE_ML_1,9.50E-06,0.00102,2.47E-09,1067,3.79E-13,1182,,-0.01955,-33.7,-31.6,-6.602,-42.58,-31.18,-9.11,-47.66,-41.51,-13.17,-55.42,-55.15,-18.86,-64.16,-69.84,0,0,0,1,2
472,ECE740_tb_channel_CTLE_ML_1,2.49E-06,0.0005827,2.08E-09,98.45,7.65E-13,1236,,-0.01975,-18.7,-37.42,-6.579,-14.62,-22.73,-9.069,-15.31,-21.63,-13.13,-15.52,-18,-18.81,-14.66,-11.07,0,0,0,2,2
473,ECE740_tb_channel_CTLE_ML_1,4.20E-06,0.002494,1.37E-09,1454,5.85E-14,121.7,,-0.02018,-45.41,-33.78,-6.607,-49.12,-37.78,-9.098,-48.14,-37.55,-13.16,-48.54,-40.13,-18.87,-52.56,-48.34,0,0,0,1,2
474,ECE740_tb_channel_CTLE_ML_1,1.94E-06,0.001139,1.19E-09,1088,3.85E-13,610.2,,-0.01973,-24.13,-20.62,-6.58,-29.04,-20.29,-9.071,-31.48,-22.42,-13.13,-35.58,-26.7,-18.83,-41.47,-33.47,0,0,0,1,2
475,ECE740_tb_channel_CTLE_ML_1,9.57E-06,0.001351,1.57E-09,1479,6.23E-13,1121,,-0.01954,-52.1,-46.78,-6.604,-52.89,-41.48,-9.111,-57.11,-51.06,-13.17,-62.89,-62.7,-18.86,-69.43,-75.27,0,0,0,1,2
476,ECE740_tb_channel_CTLE_ML_1,8.20E-06,0.002184,2.04E-09,1436,5.01E-13,982.7,,-0.01979,-37.76,-32.5,-6.603,-50.83,-38.56,-9.109,-54.75,-47.25,-13.17,-60.83,-59.01,-18.87,-67.99,-72.12,0,0,0,1,2
477,ECE740_tb_channel_CTLE_ML_1,3.55E-06,0.001702,1.43E-09,128.1,6.95E-13,1364,,-0.01974,-16.12,-32.25,-6.578,-8.716,-10.92,-9.073,-10.34,-11.69,-13.14,-12.59,-12.16,-18.86,-15.4,-11.93,0,0,0,2,2
478,ECE740_tb_channel_CTLE_ML_1,8.78E-06,0.002252,1.61E-09,16.54,2.56E-13,712.7,,-0.0197,-29.19,-58.38,-6.575,-17.8,-29.07,-9.085,-10.67,-12.43,-13.18,-11.87,-10.71,-18.88,-21.61,-24.59,0,0,0,2,2
479,ECE740_tb_channel_CTLE_ML_1,1.03E-06,0.001277,1.88E-09,1318,7.61E-14,272.3,,-0.01975,-27.92,-23.92,-6.58,-34.53,-30.3,-9.069,-37.09,-32.45,-13.13,-41.16,-35.97,-18.82,-46.34,-41.05,0,0,0,1,2
480,ECE740_tb_channel_CTLE_ML_1,4.85E-06,0.001313,1.88E-09,297.4,2.57E-13,885.1,,-0.01972,-6.95,-13.82,-6.574,-2.945,0.737,-9.081,-3.752,1.797,-13.17,-8.518,-3.18,-18.89,-16.84,-13.72,0,0,0,2,2
481,ECE740_tb_channel_CTLE_ML_1,9.00E-06,0.0008244,2.87E-09,1150,1.47E-13,209,,-0.01957,-24.69,-13.81,-6.6,-33.53,-23.92,-9.109,-39.61,-33.23,-13.17,-48.76,-47.74,-18.87,-59.1,-63.96,0,0,0,1,2
482,ECE740_tb_channel_CTLE_ML_1,9.53E-06,0.000946,3.34E-10,734.4,4.61E-13,1062,,-0.01959,-8.299,-8.332,-6.604,-10.55,-0.4237,-9.113,-16.23,-10.95,-13.17,-25.19,-25.73,-18.86,-36.54,-43.15,0,0,0,1,2
483,ECE740_tb_channel_CTLE_ML_1,5.64E-06,0.0005038,2.30E-09,1007,7.31E-13,1077,,-0.01967,1.498,3.559,-6.592,2.969,14.17,-9.108,-1.498,8.235,-13.18,-9.055,-2.784,-18.89,-19.45,-18.24,0,0,0,2,2
484,ECE740_tb_channel_CTLE_ML_1,3.57E-06,0.0009208,2.71E-09,125.9,4.23E-13,301.5,,-0.01973,-9.07,-18.17,-6.578,-10.36,-14.23,-9.069,-10.05,-11.15,-13.13,-9.635,-6.415,-18.87,-10.98,-2.842,0,0,0,2,2
485,ECE740_tb_channel_CTLE_ML_1,9.09E-06,0.0009638,2.86E-09,1460,8.67E-13,1310,,-0.01956,-44.8,-39.71,-6.601,-55.59,-43.76,-9.111,-57.94,-51.1,-13.17,-61.88,-60.76,-18.87,-67.52,-72.35,0,0,0,1,2
486,ECE740_tb_channel_CTLE_ML_1,2.18E-06,0.001946,2.67E-09,235.4,7.65E-13,460.5,,-0.01974,-7.31,-14.44,-6.579,-8.14,-9.484,-9.07,-9.784,-10.29,-13.13,-11.7,-10.14,-18.82,-12.69,-6.786,0,0,0,2,2
487,ECE740_tb_channel_CTLE_ML_1,5.87E-06,0.001776,1.19E-09,1066,1.08E-13,264.6,,-0.01963,-43.92,-34.46,-6.588,-44.54,-34.55,-9.096,-44.74,-34.86,-13.17,-49.02,-42.3,-18.88,-57.16,-55.95,0,0,0,1,2
488,ECE740_tb_channel_CTLE_ML_1,4.62E-06,0.001995,1.15E-09,563.9,7.16E-13,246,,-0.01966,-22.08,-16.99,-6.584,-27.54,-17.89,-9.086,-30.37,-20.94,-13.16,-35.71,-28.34,-18.88,-44.29,-40.95,0,0,0,1,2
489,ECE740_tb_channel_CTLE_ML_1,1.78E-06,0.001668,2.23E-09,493.8,1.09E-13,644.5,,-0.01974,-6.683,-10.11,-6.579,-10.44,-10.71,-9.069,-11.25,-9.478,-13.13,-14.21,-11,-18.83,-18.79,-13.87,0,0,0,1,2
490,ECE740_tb_channel_CTLE_ML_1,3.90E-06,0.001409,2.56E-09,527.7,5.31E-13,137,,-0.01967,-1.842,3.849,-6.582,-7.352,0.2405,-9.084,-9.709,-1.407,-13.16,-14.61,-6.57,-18.88,-22.67,-16.49,0,0,0,1,2
491,ECE740_tb_channel_CTLE_ML_1,3.38E-06,0.0006367,2.67E-10,852.5,4.97E-13,605.7,,-0.0197,1.842,4.582,-6.581,1.075,10.21,-9.083,-1.711,7.414,-13.16,-7.28,0.7747,-18.87,-15.96,-10.79,0,0,0,2,2
492,ECE740_tb_channel_CTLE_ML_1,1.80E-06,0.001969,2.42E-10,809.6,6.34E-13,368.8,,-0.01973,-27.8,-25.11,-6.58,-33.07,-26.77,-9.071,-35.5,-29.05,-13.13,-39.52,-33.25,-18.82,-45.12,-39.62,0,0,0,1,2
493,ECE740_tb_channel_CTLE_ML_1,2.24E-06,0.001123,2.71E-09,1364,9.75E-13,826.2,,-0.01972,-33.57,-28.7,-6.58,-38.61,-27.35,-9.072,-41.03,-29.82,-13.13,-44.87,-34.01,-18.83,-49.86,-40.23,0,0,0,1,2
494,ECE740_tb_channel_CTLE_ML_1,6.65E-06,0.001039,2.16E-09,226.9,4.45E-13,23.86,,-0.01962,3.761,7.496,-6.588,-2.955,0.6787,-9.099,-5.886,-2.563,-13.18,-11.31,-9.117,-18.89,-19.85,-20.49,0,0,0,2,2
495,ECE740_tb_channel_CTLE_ML_1,6.07E-06,0.001168,5.11E-10,179.8,9.19E-13,775,,-0.01971,-9.322,-18.65,-6.583,-4.075,-1.608,-9.093,-7.228,-5.327,-13.17,-13.61,-13.94,-18.88,-23.14,-27.32,0,0,0,2,2
496,ECE740_tb_channel_CTLE_ML_1,1.99E-06,0.00235,2.13E-09,1087,2.75E-13,1170,,-0.01973,-44.82,-44.44,-6.581,-50.68,-41.81,-9.072,-52.15,-42.8,-13.13,-53.66,-44.35,-18.83,-55.24,-46.6,0,0,0,1,2
497,ECE740_tb_channel_CTLE_ML_1,8.23E-06,0.0006759,1.82E-09,548,2.90E-13,21.2,,-0.01952,9.316,18.77,-6.605,0.7469,8.637,-9.115,-4.721,0.3961,-13.18,-13.25,-12.65,-18.87,-24.05,-28.75,0,0,0,2,2
498,ECE740_tb_channel_CTLE_ML_1,8.44E-06,0.0008213,2.72E-09,545.1,3.05E-13,359.5,,-0.01961,3.248,6.764,-6.597,0.7373,8.969,-9.12,-4.188,1.975,-13.18,-13.13,-11.98,-18.87,-24.03,-28.24,0,0,0,2,2
499,ECE740_tb_channel_CTLE_ML_1,3.88E-06,0.002448,1.16E-09,913.1,9.12E-13,469.1,,-0.01968,-44.1,-38.64,-6.583,-50.95,-39.08,-9.081,-52.54,-41.15,-13.15,-54.56,-45.04,-18.87,-57.81,-52.12,0,0,0,1,2
500,ECE740_tb_channel_CTLE_ML_1,7.31E-06,0.001692,2.08E-09,1328,2.41E-15,380.6,,-0.0196,-51.64,-42.07,-6.595,-38.55,-30.16,-9.106,-37.07,-31.01,-13.17,-39,-37.19,-18.87,-43.95,-47.6,0,0,0,1,2
501,ECE740_tb_channel_CTLE_ML_1,4.46E-06,0.002294,2.13E-09,374.5,7.78E-13,1427,,-0.01968,-14.65,-21.36,-6.583,-12.19,-4.628,-9.088,-15.02,-7.448,-13.16,-20.31,-13.57,-18.88,-28.78,-24.33,0,0,0,1,2
502,ECE740_tb_channel_CTLE_ML_1,2.54E-06,0.002039,2.31E-09,282.6,1.46E-13,132,,-0.01972,-1.593,-2.545,-6.579,-7.752,-8.303,-9.07,-9.309,-8.929,-13.13,-11.21,-8.673,-18.84,-13.74,-7.657,0,0,0,2,2
503,ECE740_tb_channel_CTLE_ML_1,5.57E-06,0.002229,1.92E-09,973,2.46E-13,301.1,,-0.01964,-46.15,-37.81,-6.587,-49.33,-37.98,-9.094,-51.16,-40.01,-13.17,-55.16,-47.82,-18.88,-61.01,-59.09,0,0,0,1,2
504,ECE740_tb_channel_CTLE_ML_1,7.93E-06,0.001477,1.40E-09,26.66,7.97E-13,981.8,,-0.01971,-26.83,-53.67,-6.58,-14.34,-22.2,-9.093,-12.88,-16.84,-13.17,-14.38,-15.76,-18.88,-21.41,-23.98,0,0,0,2,2
505,ECE740_tb_channel_CTLE_ML_1,4.60E-06,0.001633,1.80E-10,165.2,5.41E-13,819.7,,-0.01972,-11.06,-22.1,-6.578,-5.823,-5.102,-9.081,-8.037,-6.98,-13.16,-13.25,-13.23,-18.88,-21.92,-24.8,0,0,0,2,2
506,ECE740_tb_channel_CTLE_ML_1,9.86E-06,0.00133,2.12E-09,983.5,1.59E-13,1382,,-0.01954,-40.6,-40.41,-6.604,-44.31,-33.39,-9.111,-49.18,-43.16,-13.17,-57.03,-57.29,-18.86,-65.99,-72.32,0,0,0,1,2
507,ECE740_tb_channel_CTLE_ML_1,1.04E-06,0.001999,1.10E-09,49.58,7.46E-13,688.2,,-0.01977,-32.57,-66.26,-6.581,-35.81,-65.51,-9.069,-36.53,-64.44,-13.13,-36.9,-61.05,-18.82,-37.19,-55.81,0,0,0,2,2
508,ECE740_tb_channel_CTLE_ML_1,9.73E-06,0.002198,1.59E-09,408.2,6.96E-13,1240,,-0.01956,-21.61,-26.55,-6.604,-22.81,-13.44,-9.112,-28.4,-23.86,-13.17,-37.23,-38.35,-18.86,-48.36,-55.02,0,0,0,1,2
509,ECE740_tb_channel_CTLE_ML_1,8.07E-06,0.001708,2.81E-09,1210,7.43E-13,1281,,-0.01958,-53.06,-49.64,-6.597,-57.73,-44.96,-9.109,-58.87,-50.62,-13.17,-61.92,-59.24,-18.87,-67.21,-70.39,0,0,0,1,2
510,ECE740_tb_channel_CTLE_ML_1,3.43E-06,0.0006273,3.87E-10,1341,4.55E-13,996,,-0.0197,-14.47,-10.71,-6.581,-18.35,-6.452,-9.078,-21.01,-9.35,-13.15,-25.74,-15.56,-18.86,-33.17,-26.44,0,0,0,1,2
511,ECE740_tb_channel_CTLE_ML_1,3.17E-06,0.0006943,7.24E-10,261.2,4.64E-13,1063,,-0.01974,-9.772,-19.55,-6.578,-5.911,-5.325,-9.072,-8.055,-7.117,-13.14,-12.17,-11.25,-18.85,-18.36,-17.85,0,0,0,2,2
512,ECE740_tb_channel_CTLE_ML_1,7.88E-06,0.001647,7.87E-10,754.2,9.88E-13,847.1,,-0.01959,-33.91,-31.56,-6.596,-39.27,-27.55,-9.108,-43.62,-35.79,-13.17,-51.12,-48.61,-18.87,-60.61,-63.94,0,0,0,1,2
513,ECE740_tb_channel_CTLE_ML_1,3.51E-06,0.002458,2.35E-09,362.9,6.37E-13,1003,,-0.0197,-13.24,-19.16,-6.581,-11.83,-6.116,-9.08,-14.28,-8.13,-13.15,-18.67,-12.12,-18.87,-25.8,-19.2,0,0,0,1,2
514,ECE740_tb_channel_CTLE_ML_1,6.22E-06,0.001939,9.52E-10,647.4,2.62E-13,889.5,,-0.01963,-32.15,-32.4,-6.589,-37.94,-27.46,-9.098,-41.31,-31.39,-13.17,-47.58,-42.06,-18.88,-56.52,-56.6,0,0,0,1,2
515,ECE740_tb_channel_CTLE_ML_1,8.15E-06,0.002246,6.55E-11,366.3,7.61E-13,622.3,,-0.0196,-13.39,-15.17,-6.598,-15.31,-6.242,-9.111,-20.12,-14.39,-13.17,-28.45,-27.93,-18.87,-39.55,-44.89,0,0,0,1,2
