fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,channel 3.5G attenuation,channel 7G attenuation,channel 14G attenuation,channel 28G attenuation,Stage 1 Region,stage 1 0.1G attenuation,stage 2 0.1G attenuation,Hard Constraint of neg2 on 0.1G Status,stage 1 3.5G attenuation,stage 2 3.5G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_maxHeight Vout_1 7G,eye_maxWidth Vout_1 7G,eye_maxHeight Vout_2 7G,eye_maxWidth Vout_2 7G,eye_maxWidth Vout_2 14G,eye_maxWidth Vout_1 14G,eye_maxHeight Vout_2 14G,eye_maxHeight Vout_1 14G,eye_maxWidth Vout_2 28G,eye_maxWidth Vout_1 28G,eye_maxHeight Vout_1 28G,eye_maxHeight Vout_2 28G,eye_maxHeight Vout_2 56G,eye_maxWidth Vout_2 56G,eye_maxHeight Vout_1 56G,eye_maxWidth Vout_1 56G
4.48E-06,0.0008484,5.92E-11,1147,6.45E-13,1263,-0.01967,-6.583,-9.085,-13.16,-18.88,0,-23.15,-20.92,0,-26.81,-14.26,-29.67,-18.03,-34.9,-25.96,-43.25,-38.96,0.3468,1.11E-10,0.02742,1.02E-10,3.28E-11,4.52E-11,0.03082,0.3346,0,7.76E-12,0.02617,0,0,0,0,0
3.66E-06,0.0016,1.27E-10,696,4.74E-13,179.7,-0.01968,-6.582,-9.08,-13.15,-18.87,0,-20.87,-14.12,0,-27.03,-18,-29.6,-20.14,-34.31,-25.96,-41.83,-36.7,0.4091,1.21E-10,0.3303,1.26E-10,5.03E-11,4.32E-11,0.233,0.2458,8.67E-12,0,0,0.01806,0,0,0,0
6.47E-06,0.001561,1.01E-09,455.4,1.96E-13,504.6,-0.01964,-6.587,-9.104,-13.18,-18.88,0,-5.339,-4.841,0,-8.244,-1.846,-11.05,-3.227,-18.23,-13.94,-28.8,-29.95,0.3896,1.29E-10,0.4106,1.39E-10,5.49E-11,5.72E-11,0.3966,0.3236,6.25E-12,1.45E-11,0.04356,0.01087,0,0,0,0
2.85E-06,0.001184,2.70E-10,147.4,7.06E-14,940,-0.01974,-6.578,-9.066,-13.13,-18.83,1,-14.09,-28.19,0,-16.75,-26.98,-15.78,-22.58,-17.21,-21.43,-22.19,-25.71,0.2395,1.35E-10,0.06117,1.40E-10,6.89E-11,6.36E-11,0.04917,0.2292,2.88E-11,2.88E-11,0.2302,0.04669,0.03988,7.88E-12,0.07651,1.09E-11
5.78E-06,0.002395,2.15E-09,566.1,4.39E-13,1390,-0.01964,-6.587,-9.095,-13.17,-18.88,0,-35.05,-39.05,0,-37.24,-26.25,-40.44,-30.46,-46.45,-40.11,-55.22,-53.83,0.07129,1.06E-10,0.02288,9.16E-11,0,3.92E-11,0,0.03443,0,0,0,0,0,0,0,0
7.86E-06,0.000945,2.71E-09,739.8,9.48E-14,196.7,-0.01958,-6.596,-9.108,-13.17,-18.87,0,-2.913,5.344,0,-10.44,-2.592,-14.86,-8.415,-22.54,-20.03,-33.17,-36.14,0.4444,1.03E-10,0.4541,9.62E-11,0,0,0,0,0,0,0,0,0.004521,9.78E-13,0,0
7.59E-06,0.001228,2.74E-09,1139,7.99E-14,1109,-0.01959,-6.594,-9.105,-13.17,-18.87,0,-40.58,-37.98,0,-38.37,-29.7,-41.3,-31.92,-48.03,-44.04,-57.87,-60,0.2989,1.32E-10,0.003475,1.17E-10,0,6.05E-11,0,0.2682,0,2.16E-11,0.1597,0,0,0,0,0
6.82E-06,0.001429,4.19E-11,624.8,7.17E-13,1471,-0.01962,-6.591,-9.102,-13.17,-18.88,0,-20.24,-22.82,0,-21.64,-10.47,-25.52,-16.97,-32.73,-28.86,-43.2,-45.01,0.2646,9.85E-11,0.07231,7.03E-11,3.65E-12,3.28E-11,0.02393,0.1823,0,0,0,0,0,0,0,0
1.52E-06,0.001578,2.82E-09,384,8.83E-14,216,-0.01974,-6.58,-9.068,-13.13,-18.81,1,-3.606,-6.61,0,-9.818,-12.47,-11.5,-13.34,-13.62,-13.57,-15.44,-11.82,0.2223,1.10E-10,0.1676,1.14E-10,4.31E-11,3.52E-11,0.08771,0.09559,1.30E-11,0,0,0.07761,0.09693,1.25E-11,0,0
8.24E-06,0.001479,3.29E-10,1326,5.16E-13,545.3,-0.01958,-6.598,-9.109,-13.17,-18.87,0,-49.98,-41.89,0,-52.69,-40.07,-55.9,-47.87,-60.86,-58.5,-67.04,-70.67,0.4633,1.34E-10,0.000401,4.23E-11,0,5.77E-11,0,0.3141,0,0,0,0,0,0,0,0
9.04E-06,0.001136,1.46E-10,113.7,6.83E-13,38.99,-0.01961,-6.593,-9.105,-13.17,-18.87,1,-0.7396,-1.528,1,-7.826,-9.12,-11.96,-14.88,-19.91,-26.79,-30.87,-43.09,0.4755,8.54E-11,0.3396,8.34E-11,0,0,0,0,0,0,0,0,0,0,0,0
2.58E-06,0.00114,2.98E-09,1166,5.96E-13,1150,-0.01971,-6.581,-9.074,-13.14,-18.84,0,-30.34,-28.29,0,-34.32,-23.31,-36.82,-25.77,-40.95,-30.27,-46.82,-37.51,0.3363,1.24E-10,0.01726,1.19E-10,5.26E-11,5.64E-11,0.02095,0.3353,1.96E-11,2.32E-11,0.2101,0.01222,0.0009718,2.06E-12,0.01417,3.71E-12
5.83E-06,0.002408,2.73E-09,372.6,6.49E-13,517.2,-0.01964,-6.588,-9.098,-13.17,-18.88,0,-14.46,-15.52,0,-16.54,-7.783,-19.81,-11.43,-26.18,-20.28,-35.84,-33.98,0.0888,1.28E-10,0.1157,1.13E-10,3.12E-11,5.07E-11,0.09645,0.04708,1.20E-12,0,0,0.001722,0,0,0,0
7.81E-06,0.001078,1.79E-09,423.1,7.37E-13,431.7,-0.01964,-6.599,-9.118,-13.18,-18.88,1,0.6814,1.621,1,1.125,9.7,-4.15,1.949,-12.76,-11.2,-23.49,-27.07,0.6803,1.31E-10,0.6986,1.07E-10,3.04E-11,5.34E-11,0.2155,0.4157,0,0,0,0,0,0,0,0
6.40E-06,0.002341,2.26E-09,223.2,7.93E-13,121,-0.01964,-6.586,-9.107,-13.18,-18.89,1,1.301,3.213,1,-2.219,2.979,-4.802,0.7644,-11.11,-7.213,-20.51,-20.09,0.07355,1.15E-10,0.1577,1.40E-10,6.53E-11,2.94E-11,0.1126,0.02151,1.71E-11,0,0,0.01236,0,0,0,0
6.16E-06,0.0007396,1.35E-09,1088,6.37E-13,466.9,-0.01964,-6.588,-9.097,-13.17,-18.88,0,-13.42,-6.579,0,-18.78,-6.416,-22.28,-12.04,-28.88,-22.95,-38.9,-38.49,0.6901,1.32E-10,0.2178,1.22E-10,4.94E-11,6.04E-11,0.1083,0.5256,0,1.16E-11,0.04017,0,0,0,0,0
9.34E-06,0.001946,1.92E-09,852.3,2.61E-13,941.3,-0.01955,-6.602,-9.111,-13.17,-18.87,0,-45.13,-43.31,0,-47.55,-36.1,-52.14,-45.69,-59.33,-58.95,-67.34,-72.95,0.1862,1.22E-10,0.002856,1.34E-10,1.20E-11,5.20E-11,0.0003006,0.08321,0,0,0,0,0,0,0,0
2.25E-06,0.00233,9.33E-10,913.3,4.30E-13,233.5,-0.01972,-6.58,-9.072,-13.13,-18.83,0,-37.48,-31.48,0,-44.42,-36.12,-46.75,-37.96,-49.95,-41.32,-53.51,-46.03,0.1933,1.24E-10,0.01111,1.27E-10,5.06E-11,4.65E-11,0.007135,0.1144,1.24E-11,8.48E-12,0.02391,0.002078,0,0,0,0
4.61E-06,0.001981,2.91E-09,353.8,5.63E-13,1422,-0.0197,-6.581,-9.091,-13.17,-18.89,0,-10.26,-18.1,0,-4.331,2.85,-6.925,0.7213,-12.18,-4.824,-20.81,-15.63,0.1689,1.11E-10,0.005767,4.16E-12,2.97E-11,4.53E-11,0.02796,0.1392,1.64E-12,9.15E-12,0.01573,0.008115,0,0,0,0
6.24E-06,0.001972,6.00E-10,1464,7.93E-13,1296,-0.0197,-6.592,-9.1,-13.17,-18.88,0,-46.62,-41.99,0,-58.46,-44.59,-58.51,-47.76,-60.12,-54.26,-64.56,-64.43,0.1603,9.66E-11,0,0,0,2.61E-11,0,0.05851,4.60E-13,0,0,6.72E-06,0,0,0,0
1.18E-06,0.0008747,1.92E-11,1188,5.35E-13,1467,-0.01975,-6.58,-9.069,-13.13,-18.82,0,-15.84,-16.58,0,-18.73,-12.28,-21.22,-14.75,-25.33,-19.07,-31.21,-25.72,0.2293,1.17E-10,0.0464,1.06E-10,4.17E-11,4.58E-11,0.04137,0.1507,1.20E-11,0,0,0.01329,0,0,0.002451,4.55E-13
8.96E-06,0.00142,1.14E-09,1242,1.39E-13,977.8,-0.01956,-6.601,-9.11,-13.17,-18.87,0,-47.8,-43.59,0,-39.92,-28.73,-44.12,-36.81,-52.06,-50.86,-62.3,-67.23,0.3176,1.36E-10,0,0,0,6.02E-11,0,0.3145,0,1.10E-11,0.02016,0,0,0,0,0
7.02E-06,0.001907,1.91E-09,693.7,6.42E-13,362,-0.0196,-6.592,-9.104,-13.17,-18.88,0,-32.87,-27.16,0,-40.05,-28.28,-43.88,-34.84,-50.7,-46.53,-59.66,-61.04,0.2936,1.36E-10,0.0744,1.28E-10,5.41E-11,5.69E-11,0.02621,0.1392,0,0,0,0,0,0,0,0
1.68E-06,0.000866,1.04E-09,975.2,4.60E-13,502.5,-0.01973,-6.58,-9.071,-13.13,-18.83,0,-7.121,-4.187,0,-11.38,-4.192,-13.79,-6.386,-17.95,-10.66,-24.1,-17.42,0.432,1.38E-10,0.2762,1.36E-10,6.52E-11,6.34E-11,0.2567,0.3322,2.59E-11,2.19E-11,0.1471,0.1436,0,0,0,0
4.86E-06,0.0009633,1.89E-09,1412,9.68E-13,659.7,-0.01966,-6.584,-9.088,-13.16,-18.88,0,-36.27,-29.05,0,-42.53,-28.73,-45.25,-32.84,-49.85,-40.78,-56.33,-52.28,0.5467,1.19E-10,0.01172,1.14E-10,4.50E-11,4.78E-11,0.008633,0.4184,0,0,0,0,0.0001092,3.83E-13,0,0
3.31E-06,0.001564,8.09E-10,1286,2.36E-13,1138,-0.01969,-6.581,-9.077,-13.15,-18.86,0,-44.55,-41.86,0,-55.65,-43.84,-55.61,-43.32,-55.33,-44.31,-56.84,-49.23,0.2928,1.38E-10,0.003502,1.41E-10,6.87E-11,6.47E-11,0.003592,0.2986,3.00E-11,2.77E-11,0.2027,0.00268,0,0,0,0
6.21E-06,0.001721,1.39E-09,269.1,4.75E-13,1458,-0.01971,-6.58,-9.103,-13.18,-18.89,1,-10.49,-20.8,0,-0.8343,5.351,-3.99,1.959,-11.08,-7.816,-20.89,-21.66,0.2039,1.12E-10,0,0,0,4.50E-11,0,0.1933,0,0,0,0,0,0,0.002581,4.68E-13
9.20E-06,0.001268,1.25E-09,1370,5.06E-13,1451,-0.01955,-6.602,-9.111,-13.17,-18.87,0,-49.65,-46.56,0,-53.13,-41.2,-56.86,-50.19,-62.13,-61.31,-68.41,-73.61,0.2833,9.85E-11,0,0,0,2.44E-11,0,0.09713,0,0,0,0,0,0,0,0
5.61E-06,0.001476,1.72E-09,404,4.67E-13,463.7,-0.01967,-6.583,-9.102,-13.18,-18.89,1,-1.529,-1.681,1,-1.199,6.59,-4.31,3.486,-11.2,-5.864,-21.13,-19.96,0.5157,1.41E-10,0.495,1.31E-10,5.20E-11,6.69E-11,0.4976,0.4696,0,1.98E-11,0.1008,0,0,0,0,0
4.26E-06,0.0009319,1.25E-09,436.6,5.79E-13,198.9,-0.01968,-6.58,-9.085,-13.16,-18.88,1,2.851,5.868,1,-0.63,5.526,-2.936,3.602,-8.285,-2.638,-16.87,-13.84,0.6279,1.28E-10,1.033,1.36E-10,6.47E-11,5.23E-11,1.028,0.4327,2.67E-11,1.12E-11,0.08585,0.4382,0,0,0,0
3.13E-06,0.002334,1.27E-09,1325,6.85E-13,950.7,-0.01978,-6.586,-9.08,-13.15,-18.86,0,-49.33,-45.04,0,-61.41,-48.8,-58.56,-46.24,-57.15,-46.16,-58.17,-50.36,0.148,1.19E-10,0.0008867,1.17E-10,4.51E-11,4.62E-11,0.000596,0.08969,1.19E-11,0,0,0.0002021,0,0,0,0
8.06E-06,0.002292,2.29E-10,1380,7.05E-13,423,-0.01981,-6.603,-9.108,-13.17,-18.87,0,-43.76,-34.51,0,-54.44,-42.35,-57.59,-50.04,-62.33,-60.39,-68.41,-72.42,0.07958,1.26E-10,0,0,0,4.36E-11,0,0.02611,0,0,0,0,0,0,0,0
8.43E-06,0.0007121,2.17E-09,757.4,6.18E-13,1289,-0.01965,-6.608,-9.12,-13.18,-18.87,1,-1.578,-2.357,0,1.111,11.51,-5.084,1.49,-14.21,-12.93,-25.41,-29.84,0.3561,9.35E-11,0.183,6.22E-11,0,2.18E-11,0,0.1083,0,0,0,0,0,0,0,0
7.14E-06,0.001592,8.64E-10,1252,9.07E-13,589.5,-0.0196,-6.593,-9.105,-13.17,-18.88,0,-49.35,-41.89,0,-59.58,-46.26,-58.74,-49.15,-60.52,-56.17,-65.3,-66.8,0.4096,1.20E-10,0.002505,1.22E-10,3.46E-11,4.19E-11,0.0007813,0.2212,0,0,0,0,0,0,0,0
6.64E-06,0.002105,2.49E-10,300.9,2.92E-14,77.16,-0.0196,-6.593,-9.105,-13.18,-18.88,1,2.683,8.11,1,-4.597,0.3275,-8.679,-4.981,-16.09,-15.37,-26.65,-30.66,0.1054,9.74E-11,0.1729,9.36E-11,0,0,0,0,0,0,0,0,0,0,0,0
7.14E-06,0.00212,1.08E-10,576.8,5.22E-13,1227,-0.0196,-6.593,-9.104,-13.17,-18.88,0,-32.91,-35.65,0,-35.9,-24.6,-39.83,-31.43,-47.03,-43.7,-56.9,-59.37,0.1153,9.84E-11,0.04154,7.31E-11,0,2.92E-11,0,0.03701,0,0,0,0,0,0,0,0
1.11E-06,0.002255,2.14E-09,393.5,4.35E-13,1053,-0.01976,-6.581,-9.069,-13.13,-18.82,1,-15.4,-45.3,0,-17.86,-45.62,-20.11,-47.52,-23.47,-49.68,-26.95,-49.41,0.1044,1.26E-10,0.002704,1.23E-10,3.38E-11,5.20E-11,0.002569,0.06838,0,0,0,0,0.001816,3.35E-12,0,0
6.31E-06,0.002409,3.67E-10,1065,6.31E-13,1078,-0.01964,-6.59,-9.1,-13.17,-18.88,0,-60.79,-57.93,0,-57.79,-44.42,-57.94,-47.52,-59.73,-54.17,-64.27,-64.44,0.0614,1.03E-10,0.0002804,1.10E-10,3.41E-11,3.00E-11,0.0001007,0.02161,0,0,0,0,0,0,0,0
7.84E-06,0.001086,2.84E-10,23.8,7.03E-13,980.9,-0.01971,-6.582,-9.092,-13.17,-18.87,1,-28.17,-56.34,0,-19.73,-32.97,-22.07,-35.2,-26.97,-40.99,-33.51,-48.37,0.4168,1.03E-10,0.006363,3.11E-12,0,3.13E-11,0,0.1903,0,0,0,0,0,0,0,0
1.63E-06,0.0005271,1.54E-09,1338,8.86E-13,1499,-0.01974,-6.58,-9.071,-13.13,-18.83,0,-2.762,-0.8756,0,-4.716,4.111,-7.261,1.513,-11.57,-3.103,-18.01,-10.55,0.2462,1.04E-10,0.09969,9.34E-11,3.10E-11,3.96E-11,0.0668,0.1532,0,0,0,0,0,0,0,0
9.21E-06,0.002133,1.20E-09,768.9,3.46E-13,1031,-0.01955,-6.602,-9.111,-13.17,-18.87,0,-44.67,-44.15,0,-53.15,-41.67,-56.84,-50.47,-62.05,-61.66,-68.28,-73.89,0.1027,1.07E-10,0.003171,9.38E-11,0,3.67E-11,0,0.02727,0,0,0,0,0,0,0,0
6.52E-06,0.001628,2.75E-09,455.8,7.19E-14,1357,-0.01965,-6.583,-9.098,-13.18,-18.88,0,-12.19,-18.28,0,-13.28,-12.25,-13.9,-7.279,-20.16,-13.78,-30.31,-29.73,0.1983,1.35E-10,0.1106,9.20E-11,1.46E-11,6.21E-11,0.05592,0.1825,0,2.37E-11,0.1311,0,0,0,0,0
4.15E-06,0.002321,8.23E-10,33.51,8.72E-13,1081,-0.01974,-6.578,-9.074,-13.14,-18.86,1,-25.76,-51.54,0,-17.7,-28.93,-17.97,-27,-18.25,-23.52,-19.64,-20.61,0.1042,1.06E-10,0.00307,1.19E-10,4.80E-11,3.51E-11,0.006358,0.0496,2.12E-11,0,0,0.01689,0.01051,9.21E-12,0,0
7.34E-06,0.001896,7.05E-10,1403,5.72E-13,613.1,-0.01963,-6.595,-9.106,-13.17,-18.87,0,-60.73,-53,0,-52.85,-39.58,-55.63,-46.41,-60.19,-56.41,-66.2,-68.34,0.2677,1.24E-10,0,0,0,4.99E-11,0,0.1289,0,0,0,0,0,0,0,0
5.14E-06,0.001525,6.95E-10,1154,3.82E-13,1062,-0.01965,-6.585,-9.09,-13.17,-18.88,0,-44.03,-41.08,0,-55.58,-42.25,-55.76,-43.72,-56.69,-48.4,-60.32,-57.32,0.3082,1.29E-10,0.004327,1.29E-10,5.77E-11,5.75E-11,0.00457,0.3239,1.35E-11,1.66E-11,0.09466,0.0006314,0,0,0,0
2.40E-06,0.002006,2.68E-09,1311,4.37E-13,831.9,-0.01973,-6.581,-9.073,-13.14,-18.84,0,-47.82,-43.72,0,-54.54,-43.27,-54.97,-43.54,-55.17,-44.15,-56.2,-46.71,0.2757,1.35E-10,0.002816,1.35E-10,6.24E-11,6.27E-11,0.002711,0.2462,2.45E-11,2.46E-11,0.1361,0.001736,0,0,0,0
1.47E-06,0.0007659,2.46E-09,525.5,1.35E-13,453.9,-0.01975,-6.579,-9.067,-13.13,-18.81,1,-2.303,-4.473,0,-6.752,-6.822,-7.774,-6.4,-10.61,-8.103,-14.3,-10.16,0.2458,1.29E-10,0.2332,1.38E-10,6.83E-11,5.53E-11,0.225,0.1797,3.32E-11,2.26E-11,0.1198,0.23,0.2135,1.55E-11,0.03507,8.01E-12
8.78E-06,0.002436,1.10E-09,299.6,3.52E-13,86.28,-0.01955,-6.602,-9.114,-13.17,-18.87,0,-2.078,4.105,0,-9.722,-3.771,-14.61,-10.52,-23.03,-23.52,-33.97,-39.8,0.02992,8.91E-11,0.05732,9.22E-11,0,0,0,0,0,0,0,0,0,0,0,0
2.63E-06,0.002018,1.79E-09,811.1,8.46E-13,72.69,-0.01971,-6.581,-9.074,-13.14,-18.84,0,-30.8,-22.69,0,-37.42,-28.6,-39.93,-30.84,-43.96,-35.07,-49.51,-41.74,0.2562,1.11E-10,0.03971,1.13E-10,3.47E-11,0,0.01752,0,0,2.56E-12,0.00815,0,0,0,0,0
6.08E-06,0.0008044,2.53E-09,1180,1.68E-13,118.3,-0.01963,-6.588,-9.096,-13.17,-18.88,0,-21.55,-9.846,0,-28.72,-17.43,-32.54,-22.58,-39.4,-33.07,-49.18,-48.21,0.5062,1.07E-10,0.05213,1.02E-10,9.77E-12,2.52E-11,0.002772,0.1624,0,0,0,0,0,0,0,0
6.42E-06,0.001218,1.97E-09,247.8,4.39E-13,786.2,-0.0197,-6.579,-9.099,-13.18,-18.89,1,-7.227,-14.43,0,-1.802,2.979,-4.221,0.8811,-10.53,-7.412,-19.71,-20.04,0.451,1.29E-10,0.1672,1.22E-10,3.81E-11,5.73E-11,0.1681,0.4562,0,0,0,0,0,0,0,0
4.86E-06,0.001942,1.09E-09,65.34,6.91E-13,1415,-0.01973,-6.578,-9.077,-13.15,-18.88,1,-21.72,-43.45,0,-11.77,-17.06,-12.78,-16.6,-14.47,-15.92,-18.12,-17.3,0.179,1.06E-10,0.000449,4.97E-11,3.73E-11,3.90E-11,0.00353,0.1216,9.89E-12,0,0,0.02126,0.002701,1.46E-12,0.001656,3.96E-13
4.21E-06,0.001418,2.95E-09,213.4,2.57E-13,1181,-0.01973,-6.574,-9.071,-13.15,-18.9,1,-11.72,-23.43,0,-5.457,-4.394,-5.186,-1.397,-6.702,-0.2099,-13.01,-5.876,0.3082,1.37E-10,0.06207,1.38E-10,6.04E-12,6.26E-11,0.05508,0.3166,1.92E-11,2.70E-11,0.2374,0.0587,0,0,0,0
5.73E-06,0.000912,2.90E-09,803.8,8.48E-13,789,-0.01965,-6.588,-9.097,-13.17,-18.88,0,-7.516,-5.105,0,-10.12,1.403,-13.63,-3.563,-20.19,-13.56,-30.04,-28.28,0.4994,1.14E-10,0.2816,9.83E-11,3.26E-11,4.64E-11,0.2682,0.4047,0,0,0,0,0,0,0,0
3.26E-06,0.0007951,2.13E-09,715.9,9.52E-13,286,-0.0197,-6.581,-9.081,-13.15,-18.87,1,3.256,7.863,1,0.1631,8.736,-2.484,6.123,-7.467,0.662,-15.37,-8.857,0.6541,1.35E-10,0.7788,1.36E-10,6.26E-11,5.97E-11,0.7573,0.4718,2.26E-11,1.79E-11,0.1585,0.4017,0,0,0,0
4.02E-06,0.002219,1.88E-09,1116,8.33E-13,757.2,-0.01969,-6.583,-9.082,-13.15,-18.87,0,-49.74,-45.01,0,-56.43,-43.53,-56.2,-43.98,-56.4,-46.42,-58.83,-53.02,0.1591,1.19E-10,0.001687,1.15E-10,4.28E-11,4.46E-11,0.0009565,0.08983,7.66E-12,0,0,8.79E-05,0,0,0,0
8.83E-06,0.001096,2.97E-09,637.1,3.15E-13,916.7,-0.0196,-6.6,-9.113,-13.17,-18.87,0,-7.865,-8.249,0,-9.548,0.9353,-14.7,-8.041,-23.35,-22.3,-34.37,-38.92,0.433,1.29E-10,0.3015,1.13E-10,2.27E-11,5.17E-11,0.174,0.3843,0,0,0,0,0,0,0,0
8.62E-06,0.0005461,9.60E-10,1186,9.68E-13,1185,-0.0196,-6.602,-9.112,-13.17,-18.87,0,-3.099,0.8227,0,-6.662,4.347,-12.04,-5.324,-20.71,-19.49,-31.94,-36.75,0.3576,7.55E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.83E-06,0.001838,1.42E-09,461.8,5.90E-14,660.5,-0.01973,-6.579,-9.068,-13.13,-18.82,0,-7.441,-11.53,0,-12.62,-15.17,-13.32,-13.82,-15.7,-14.1,-20.43,-17.3,0.1688,1.26E-10,0.1209,1.37E-10,6.58E-11,5.26E-11,0.1113,0.1104,3.14E-11,2.00E-11,0.07695,0.1127,0.1178,1.49E-11,0.0169,5.53E-12
8.64E-06,0.001913,1.12E-09,1031,1.15E-13,657.8,-0.01957,-6.6,-9.109,-13.17,-18.87,0,-48.75,-43.41,0,-39.33,-29.9,-42.58,-35.17,-50.07,-48.51,-60.43,-65,0.1293,1.28E-10,0,0,0,5.10E-11,0,0.06213,0,0,0,0,0,0,0,0
1.95E-06,0.001065,2.62E-09,114.1,7.74E-13,66.86,-0.01974,-6.579,-9.068,-13.13,-18.8,1,-8.967,-18.01,0,-14.13,-21.77,-14.37,-19.77,-14.17,-15.31,-12.86,-7.592,0.3772,1.11E-10,0.1677,1.37E-10,6.62E-11,0,0.1316,0,3.19E-11,0,0,0.1283,0.1156,1.52E-11,0,0
4.34E-06,0.0008838,7.10E-10,1278,2.80E-13,526.1,-0.01967,-6.583,-9.084,-13.16,-18.87,0,-28.12,-21.19,0,-34.87,-22.74,-37.66,-25.55,-42.57,-32.94,-50.08,-45.07,0.5698,1.39E-10,0.03262,1.40E-10,6.73E-11,6.76E-11,0.03271,0.5659,2.82E-11,2.94E-11,0.2955,0.01221,0,0,0,0
9.80E-06,0.0008806,2.43E-10,221.5,7.54E-13,596.1,-0.01966,-6.6,-9.113,-13.17,-18.86,1,-6.011,-12.03,0,-2.914,0.8264,-8.771,-8.373,-17.94,-22.72,-29.3,-39.86,0.6182,1.08E-10,0.2705,7.44E-11,0,2.18E-11,0,0.07269,0,0,0,0,0,0,0,0
8.99E-06,0.001499,5.41E-10,977,9.66E-13,404.9,-0.01956,-6.601,-9.111,-13.17,-18.87,0,-40.48,-32.64,0,-50.96,-39.6,-55.02,-48.45,-60.7,-59.82,-67.23,-72.34,0.5036,1.24E-10,0.01132,1.20E-10,0,3.46E-11,0,0.1233,0,0,0,0,0,0,0,0
3.46E-06,0.0007999,2.96E-09,1134,7.19E-13,81.47,-0.01969,-6.582,-9.078,-13.15,-18.86,0,-14.67,-4.155,0,-21.18,-10.01,-23.8,-12.55,-28.47,-18.15,-35.82,-28.26,0.5122,1.16E-10,0.1372,1.19E-10,4.16E-11,3.96E-11,0.06105,0.2579,4.61E-12,0,0,0.006026,0,0,0,0
3.04E-06,0.001135,1.01E-09,114.8,9.78E-13,1020,-0.01974,-6.579,-9.071,-13.13,-18.84,1,-15.32,-30.65,0,-11.17,-15.86,-13.17,-17.37,-15.97,-18.92,-18.75,-18.88,0.3899,1.13E-10,0.03609,1.06E-10,4.06E-11,4.32E-11,0.06855,0.2841,0,7.07E-12,0.03005,0,0,0,0,0
2.02E-06,0.001609,2.82E-09,1192,9.00E-13,703,-0.01973,-6.58,-9.071,-13.13,-18.83,0,-37.6,-33.49,0,-42.74,-32.72,-45.03,-34.98,-48.4,-38.49,-52.29,-42.98,0.3531,1.25E-10,0.01094,1.24E-10,5.14E-11,5.35E-11,0.008523,0.2535,1.67E-11,1.61E-11,0.09067,0.004016,0,0,0,0
8.44E-06,0.0009494,2.71E-09,674.6,8.13E-13,659.3,-0.0196,-6.604,-9.116,-13.17,-18.87,0,-2.002,0.3549,0,-4.024,6.426,-9.583,-2.923,-18.33,-16.87,-29.35,-33.41,0.5691,1.08E-10,0.4446,8.22E-11,0,3.30E-11,0,0.2198,0,7.35E-13,0.006847,0,0,0,0,0
3.68E-06,0.002455,1.72E-09,380,9.39E-13,504.4,-0.01969,-6.582,-9.081,-13.15,-18.87,0,-12.36,-13.96,0,-14.37,-7.987,-16.98,-10.46,-21.69,-15.42,-29.23,-24.06,0.1202,1.24E-10,0.1384,1.11E-10,4.19E-11,4.97E-11,0.1267,0.06921,9.51E-12,0,0,0.01488,0,0,0,0
8.83E-06,0.002209,8.71E-10,1142,8.97E-13,1355,-0.01959,-6.601,-9.111,-13.17,-18.87,0,-56.97,-53.71,0,-56.99,-45.29,-59.48,-52.77,-63.55,-62.56,-69.24,-74.24,0.04445,6.82E-11,0,0,0,6.64E-12,0,0.002074,0,0,0,0,0,0,0,0
9.45E-06,0.001071,1.04E-09,982.4,3.63E-13,661.8,-0.01955,-6.602,-9.11,-13.17,-18.86,0,-30.28,-25.31,0,-39.41,-28.36,-44.62,-38.55,-52.77,-52.58,-62.35,-68.21,0.5425,1.32E-10,0.04282,1.23E-10,3.89E-11,5.73E-11,0.006099,0.3331,0,0,0,0,0,0,0,0
4.30E-06,0.0005708,2.72E-09,739.3,5.97E-13,607.7,-0.0197,-6.582,-9.09,-13.17,-18.89,1,1.804,3.783,1,2.069,11.08,-0.9341,7.938,-6.867,0.7171,-15.78,-11.28,0.548,1.31E-10,0.5359,1.21E-10,4.98E-11,6.07E-11,0.5713,0.473,1.39E-11,2.29E-11,0.2136,0.1951,0,0,0,0
8.86E-06,0.0008253,2.75E-10,1309,2.92E-13,453.9,-0.01957,-6.6,-9.109,-13.17,-18.87,0,-32.04,-23.39,0,-43.46,-31.97,-48.73,-41.66,-55.9,-54.61,-63.79,-68.58,0.6712,1.37E-10,0.01579,1.24E-10,2.74E-11,6.46E-11,0.001022,0.4457,0,0,0,0,0,0,0,0
5.35E-06,0.0006838,7.82E-10,423.6,7.85E-13,1499,-0.01971,-6.584,-9.094,-13.17,-18.88,1,-6.063,-12.11,0,0.01539,6.68,-3.377,2.637,-9.905,-6.123,-19.64,-19.98,0.3145,9.62E-11,0.005586,1.15E-12,0,3.23E-11,0,0.2221,0,0,0,0,0,0,0,0
