fW,current,ind,Rd,Cs,Rs,Stage 1 Region,channel 0.1G attenuation,channel 3.5G attenuation,channel 7G attenuation,channel 14G attenuation,channel 28G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,Hard Constraint of 2 on 0.1G Status,stage 1 3.5G attenuation,stage 2 3.5G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,stage 1 28G attenuation,stage 2 28G attenuation
8.21E-06,0.001647,9.73E-10,1172,6.34E-13,992.7,0,-0.01958,-6.598,-9.109,-13.17,-18.87,-50.28,-46.06,0,-56.74,-44.14,-58.41,-50.42,-61.82,-59.47,-67.25,-70.86
2.45E-06,0.001841,2.76E-09,1298,2.83E-13,1150,0,-0.01972,-6.581,-9.073,-13.14,-18.84,-46.25,-43.97,0,-54.89,-43.9,-55.12,-43.71,-55.05,-43.99,-55.99,-46.46
8.08E-06,0.001989,6.09E-10,1446,3.11E-13,369.4,0,-0.01967,-6.599,-9.109,-13.17,-18.87,-55.95,-45.78,0,-46.57,-34.44,-50.12,-42.17,-57.09,-54.82,-65.78,-69.51
1.20E-06,0.001738,1.98E-09,373.2,2.34E-13,178.2,1,-0.01975,-6.58,-9.068,-13.13,-18.81,-7.944,-15,0,-14.03,-20.56,-15.97,-21.95,-19.17,-24.28,-22.65,-25.74
9.19E-06,0.001324,6.30E-10,384.7,5.03E-14,147.3,1,-0.01956,-6.601,-9.111,-13.17,-18.87,4.797,10.32,1,-3.376,0.9689,-8.552,-6.53,-16.92,-19.08,-27.78,-35.23
6.43E-06,0.001219,2.32E-09,825.2,2.96E-13,201.6,0,-0.01962,-6.589,-9.099,-13.17,-18.88,-22.48,-13.68,0,-29.69,-19.11,-33.4,-23.67,-40.13,-34.56,-49.99,-49.87
4.85E-06,0.0007956,2.03E-09,715.4,2.74E-13,1290,1,-0.0197,-6.58,-9.095,-13.18,-18.89,-3.318,-5.634,0,0.6239,10.04,-2.365,7.276,-8.977,-1.519,-18.74,-15.52
1.57E-06,0.002044,7.75E-10,700,8.09E-13,1155,0,-0.01974,-6.58,-9.07,-13.13,-18.82,-23.75,-26.89,0,-26.35,-22.5,-28.83,-24.94,-32.91,-29.09,-38.68,-35.16
5.24E-06,0.002025,1.82E-09,1356,1.85E-13,1063,0,-0.01968,-6.587,-9.092,-13.17,-18.88,-57.13,-53.25,0,-45.29,-32.51,-47.79,-35.47,-52.59,-44.33,-59.55,-56.81
9.25E-06,0.00148,2.25E-09,177.9,3.91E-13,1134,1,-0.01969,-6.584,-9.118,-13.18,-18.87,-12.13,-24.24,0,-2.321,1.962,-6.095,-2.864,-14.14,-14.88,-24.03,-29.07
4.82E-06,0.0005024,2.05E-09,952.1,3.14E-13,564.6,1,-0.01968,-6.583,-9.097,-13.17,-18.89,3.706,7.843,1,2.47,12.39,-0.8067,8.989,-7.63,-0.211,-17.49,-14.51
7.74E-06,0.0006892,1.65E-09,400,4.41E-13,402.2,1,-0.01965,-6.59,-9.112,-13.18,-18.88,0.2268,0.461,1,-0.2353,6.292,-4.505,0.5237,-12.72,-11.87,-23.25,-27.39
7.26E-06,0.001225,1.79E-09,1258,4.66E-13,20.62,0,-0.0196,-6.593,-9.105,-13.17,-18.87,-40.61,-25.81,0,-47.52,-34.93,-50.66,-41.48,-55.86,-51.69,-62.88,-64.46
3.12E-06,0.001516,5.42E-10,835.6,6.40E-13,103.4,0,-0.0197,-6.581,-9.076,-13.14,-18.85,-25.03,-16.48,0,-31.56,-21.95,-34.12,-24.25,-38.53,-29.37,-45.21,-38.5
4.03E-06,0.001319,2.39E-09,988.5,7.46E-14,984,0,-0.01968,-6.583,-9.081,-13.15,-18.87,-32.31,-30.57,0,-40.96,-34.72,-45.38,-35.73,-50.23,-40.04,-55.15,-48.73
5.62E-06,0.001628,2.90E-09,366.4,3.20E-13,675.3,1,-0.01968,-6.579,-9.1,-13.18,-18.89,-4.266,-7.391,0,-1.713,5.146,-3.909,4.183,-10.36,-3.922,-20.03,-17.44
5.92E-06,0.0006383,1.32E-09,380.1,6.91E-13,1252,1,-0.01971,-6.584,-9.097,-13.17,-18.88,-6.404,-12.81,0,-0.5933,5.424,-4.039,1.264,-10.71,-7.832,-20.35,-21.49
9.61E-06,0.001329,2.79E-09,548.8,2.68E-13,534.4,0,-0.01957,-6.603,-9.113,-13.17,-18.86,-8.309,-6.32,0,-12.91,-3.803,-18.16,-12.64,-26.95,-27.22,-38.04,-43.9
1.13E-06,0.0008792,3.53E-10,949,8.47E-13,1091,0,-0.01975,-6.58,-9.069,-13.13,-18.82,-6.192,-7.228,0,-8.665,-4.093,-11.16,-6.594,-15.3,-10.89,-21.28,-17.45
7.31E-06,0.0007151,6.62E-10,654.5,1.98E-13,774.2,1,-0.01966,-6.586,-9.115,-13.18,-18.88,0.1082,0.508,1,0.8497,9.164,-3.112,4.402,-11.77,-9.058,-23.1,-26.26
3.99E-06,0.001684,1.82E-10,368.6,8.00E-13,499.7,1,-0.0197,-6.581,-9.086,-13.16,-18.88,-3.055,-4.772,0,-2.547,3.692,-5.324,0.8532,-10.87,-5.84,-19.8,-17.75
1.76E-06,0.00137,2.19E-09,1089,6.15E-15,845.4,0,-0.01973,-6.58,-9.071,-13.13,-18.83,-29.7,-28.01,0,-35.91,-34.19,-37.54,-35.7,-39.46,-37.21,-42.16,-38.71
9.81E-06,0.00226,2.22E-09,1488,7.82E-13,1271,0,-0.01993,-6.61,-9.11,-13.17,-18.86,-31.18,-26.49,0,-54.28,-44.47,-58.96,-54.49,-64.92,-66.28,-71.64,-78.97
1.56E-06,0.0011,2.42E-09,601.3,2.69E-13,431,1,-0.01974,-6.579,-9.069,-13.13,-18.82,-2.072,-2.691,0,-5.604,-2.937,-7.372,-3.901,-10.88,-6.835,-15.49,-10.32
3.61E-06,0.001117,1.71E-09,1207,9.59E-13,645.4,0,-0.01969,-6.582,-9.079,-13.15,-18.86,-32.49,-26.66,0,-37.85,-25.29,-40.43,-28.3,-44.79,-34.25,-51.13,-44.1
7.06E-06,0.002368,1.59E-10,429.7,5.30E-13,673.8,0,-0.01961,-6.592,-9.104,-13.17,-18.88,-22.69,-24.02,0,-25.59,-15.85,-29.51,-21.94,-36.89,-34.09,-47.43,-50.35
8.91E-06,0.002244,2.26E-09,953.7,1.83E-13,326.3,0,-0.01956,-6.601,-9.11,-13.17,-18.87,-49.63,-41.03,0,-43.46,-33.44,-46.56,-39.78,-53.98,-52.96,-63.84,-68.8
9.08E-06,0.0017,1.95E-09,726.4,1.69E-13,1326,0,-0.01956,-6.601,-9.11,-13.17,-18.87,-36.67,-38.56,0,-50.24,-39.79,-55.32,-48.22,-60.51,-59.66,-66.55,-71.71
9.97E-06,0.000623,1.87E-09,830.9,6.51E-13,475.1,1,-0.01956,-6.617,-9.118,-13.17,-18.86,4.325,9.551,1,0.3351,9.515,-6.678,-2.251,-16.25,-17.51,-27.67,-34.85
8.83E-06,0.00242,5.00E-10,901.7,2.18E-13,897.6,0,-0.01956,-6.601,-9.11,-13.17,-18.87,-51.15,-48.66,0,-43.59,-32.16,-47.98,-40.93,-55.75,-54.78,-65.25,-70.37
3.71E-06,0.002461,6.68E-10,603.4,6.13E-14,343.4,0,-0.01968,-6.582,-9.08,-13.15,-18.87,-30.18,-26.61,0,-37.08,-32.96,-40.37,-35.12,-46.03,-39.38,-53.05,-48.02
4.73E-06,0.00206,3.17E-10,605.2,7.72E-13,445.9,0,-0.01966,-6.584,-9.087,-13.16,-18.88,-27.34,-24.27,0,-32.04,-21.65,-34.93,-25.18,-40.3,-33.07,-48.8,-46.07
8.11E-06,0.002294,3.87E-10,1469,6.02E-13,1323,0,-0.01994,-6.607,-9.108,-13.17,-18.87,-30.9,-27.03,0,-52.7,-40.88,-56.86,-49.68,-62.18,-60.63,-68.6,-73
4.73E-06,0.0011,8.90E-10,181.3,5.81E-13,1466,1,-0.01973,-6.578,-9.08,-13.16,-18.88,-13.7,-27.4,0,-5.405,-4.302,-7.654,-6.268,-12.29,-11.36,-19.54,-20
1.40E-06,0.00186,5.28E-10,715.1,6.16E-13,295.7,0,-0.01974,-6.58,-9.07,-13.13,-18.82,-17.77,-17.36,0,-23.04,-20.29,-25.45,-22.54,-29.52,-26.66,-35.32,-32.8
1.82E-06,0.0005367,2.58E-10,1248,7.17E-14,1072,0,-0.01974,-6.579,-9.069,-13.13,-18.83,-1.977,-0.5572,1,-5.488,-0.3664,-6.542,0.6757,-10.33,-2.42,-16.98,-10.09
5.71E-06,0.001938,3.69E-10,1157,2.79E-13,831.2,0,-0.01964,-6.587,-9.095,-13.17,-18.88,-50.32,-45.9,0,-49.84,-36.75,-52.12,-40.55,-56.06,-48.95,-61.7,-60.23
9.40E-06,0.001776,1.54E-09,579.6,2.68E-13,284.9,0,-0.01955,-6.602,-9.11,-13.17,-18.86,-24.58,-18.61,0,-33.21,-24.45,-38.63,-33.01,-47.17,-47.28,-57.84,-63.81
1.75E-06,0.00247,2.21E-09,1299,6.15E-13,1263,0,-0.01982,-6.585,-9.075,-13.13,-18.83,-48.05,-46.23,0,-52.46,-42.68,-53.75,-43.93,-54.95,-45.3,-56.22,-47.28
1.18E-06,0.002427,1.48E-10,1404,2.34E-13,1149,0,-0.01989,-6.588,-9.076,-13.13,-18.82,-42.76,-41.64,0,-53.44,-46.29,-54.82,-47.36,-55.58,-48.26,-56.4,-49.89
4.47E-06,0.0008421,8.63E-10,355.1,4.34E-13,1494,1,-0.01973,-6.578,-9.083,-13.16,-18.88,-8.737,-17.45,0,-1.559,3.449,-4.006,1.191,-9.429,-5.31,-18.07,-16.76
9.92E-06,0.0005515,1.98E-09,333.2,1.46E-13,235.8,1,-0.01961,-6.593,-9.11,-13.17,-18.86,1.144,2.271,1,-4.956,-3.224,-8.462,-7.595,-16.41,-19.54,-26.7,-34.58
2.57E-06,0.001055,2.85E-09,480.9,1.52E-13,657.7,1,-0.01973,-6.577,-9.068,-13.13,-18.85,-2.855,-5.317,0,-4.517,-2.034,-4.846,-0.1431,-7.505,-1.283,-12.42,-4.602
8.93E-06,0.001843,2.02E-09,105.6,6.37E-13,1098,1,-0.0197,-6.585,-9.113,-13.18,-18.87,-15.83,-31.66,0,-4.616,-2.714,-7.348,-5.595,-13.72,-14.2,-23.05,-27.25
8.61E-06,0.002241,3.91E-10,1297,8.47E-13,475.3,0,-0.01968,-6.602,-9.11,-13.17,-18.87,-51.49,-42.81,0,-55.65,-43.9,-58.66,-51.77,-63.27,-62.08,-69.23,-74.02
8.40E-06,0.001708,1.31E-10,1341,3.79E-13,1078,0,-0.01958,-6.599,-9.11,-13.17,-18.87,-53.51,-49.19,0,-48.14,-35.47,-52.34,-44.56,-59.08,-57.11,-66.84,-70.9
9.71E-06,0.00057,7.04E-10,140,2.52E-13,488.9,1,-0.01967,-6.585,-9.105,-13.17,-18.86,-9.484,-18.98,0,-9.596,-12.67,-12.33,-15.62,-20.33,-27.6,-30.29,-41.87
3.65E-06,0.0005393,2.06E-09,1302,1.98E-13,632.8,0,-0.01969,-6.581,-9.081,-13.15,-18.87,-3.516,2.013,0,-7.788,2.6,-10.3,0.836,-15.39,-5.5,-23.48,-17.11
9.31E-06,0.001051,2.23E-09,436.8,9.24E-13,746,1,-0.01964,-6.611,-9.12,-13.17,-18.87,-1.651,-3.075,0,0.7742,9.217,-5.732,-1.212,-14.9,-15.54,-25.74,-31.62
2.52E-06,0.001972,1.88E-09,692.6,1.53E-13,1267,0,-0.01971,-6.58,-9.073,-13.14,-18.84,-28.88,-32.16,0,-31.72,-26.07,-33.86,-26.41,-37.93,-29.97,-43.97,-36.45
6.99E-06,0.0006259,1.09E-09,994.2,5.40E-13,743.9,0,-0.01963,-6.596,-9.111,-13.18,-18.88,-0.2241,3.674,1,-2.349,9.229,-7.08,1.71,-15.18,-11.21,-26.14,-27.94
6.76E-06,0.0005802,9.90E-10,137.2,4.20E-13,771.7,1,-0.01971,-6.58,-9.09,-13.17,-18.88,-12.65,-25.3,0,-8.673,-10.84,-10.87,-12.72,-16.31,-19.46,-24.21,-29.52
2.87E-06,0.0005837,7.40E-10,1142,9.31E-13,1050,0,-0.01971,-6.581,-9.078,-13.15,-18.86,-1.55,1.306,1,-3.175,7.246,-5.938,4.283,-10.91,-1.574,-18.68,-11.76
4.86E-06,0.0005966,2.77E-09,295.8,9.64E-13,883,1,-0.01972,-6.581,-9.083,-13.16,-18.89,-6.51,-13.03,0,-2.975,0.5549,-5.173,-1.29,-9.01,-4.628,-15.95,-12.31
9.64E-06,0.001705,2.85E-09,841.4,5.72E-13,266.2,0,-0.01954,-6.604,-9.111,-13.17,-18.86,-38.78,-29.97,0,-51.47,-40.85,-56.41,-50.71,-62.05,-62.12,-68.36,-74.23
2.15E-06,0.002016,2.84E-09,318.4,7.21E-13,1371,1,-0.01974,-6.579,-9.071,-13.13,-18.83,-10.02,-19.42,0,-6.663,-5.768,-8.616,-7.177,-11.18,-8.266,-13.59,-7.196
1.40E-06,0.002299,9.03E-10,389.6,6.95E-13,1281,1,-0.01975,-6.58,-9.069,-13.13,-18.82,-13.03,-24.29,0,-15.17,-20.83,-17.6,-23.2,-21.52,-27,-26.7,-31.79
5.71E-06,0.002033,2.73E-09,1336,5.00E-13,23.61,0,-0.01967,-6.589,-9.096,-13.17,-18.88,-51.95,-37.51,0,-55.22,-41.86,-54.57,-43.4,-56.37,-49.34,-61.71,-60.08
8.72E-06,0.001097,2.39E-09,1292,3.86E-13,520.5,0,-0.01956,-6.6,-9.11,-13.17,-18.87,-41.43,-33.36,0,-53.68,-41.53,-56.88,-49.42,-61.11,-59.41,-66.84,-71.1
7.90E-06,0.002389,9.14E-10,785.2,6.12E-13,1037,0,-0.01958,-6.596,-9.108,-13.17,-18.87,-47.29,-46.33,0,-59.16,-46.95,-59.19,-51.17,-61.62,-59.12,-66.7,-70.1
4.89E-06,0.00229,2.13E-09,906.1,9.97E-13,1487,0,-0.01966,-6.585,-9.089,-13.16,-18.88,-47.18,-46.04,0,-51.94,-39.18,-53.49,-41.99,-55.82,-47.43,-59.94,-56.33
2.02E-06,0.002495,3.28E-10,338.5,7.42E-13,187.1,1,-0.01972,-6.58,-9.072,-13.13,-18.83,-4.714,-7.253,0,-9.425,-9.885,-11.72,-11.94,-15.86,-16.1,-22.06,-22.63
6.10E-06,0.001705,1.33E-09,278.4,9.07E-13,879.1,1,-0.0197,-6.586,-9.105,-13.18,-18.89,-6.395,-12.56,0,-0.5316,6.121,-4.176,1.664,-11.17,-7.948,-20.93,-21.65
8.21E-06,0.001429,1.20E-09,732.7,5.20E-14,275.7,0,-0.01958,-6.597,-9.108,-13.17,-18.87,-25.65,-18.27,0,-33.52,-26.76,-38.52,-33.32,-46.83,-45.46,-57.28,-61.43
4.52E-06,0.001006,1.33E-09,363.5,2.56E-13,892,1,-0.01972,-6.575,-9.081,-13.16,-18.89,-5.538,-11.01,0,-2.202,2.199,-3.504,2.266,-8.621,-3.492,-17.19,-14.66
3.33E-06,0.001686,2.33E-09,1139,9.57E-13,1070,0,-0.01969,-6.581,-9.078,-13.15,-18.86,-42.26,-38.84,0,-47.31,-35,-49.34,-37.34,-52.13,-41.36,-55.67,-47.89
5.38E-06,0.00117,2.39E-09,1148,2.04E-13,492.4,0,-0.01964,-6.586,-9.092,-13.17,-18.88,-34.97,-28,0,-44.97,-33.34,-48.89,-37.17,-53.27,-45.14,-58.83,-56.02
1.03E-06,0.0009656,2.77E-09,277.1,2.33E-13,425.7,1,-0.01976,-6.579,-9.067,-13.13,-18.81,-9.488,-18.98,0,-13.6,-20.65,-15,-20.95,-17.2,-21.27,-18.73,-18.76
2.01E-06,0.001127,7.67E-10,357,3.90E-13,1266,1,-0.01975,-6.578,-9.07,-13.13,-18.83,-8.926,-17.76,0,-5.552,-4.403,-7.699,-6.207,-11.65,-10.07,-17.28,-15.69
8.19E-06,0.001712,2.83E-09,333.4,7.45E-13,769.8,1,-0.01965,-6.602,-9.121,-13.18,-18.87,-4.78,-8.68,0,-0.41,8.306,-5.858,0.2359,-14.37,-12.68,-24.86,-27.97
7.99E-06,0.001988,4.57E-10,628.3,2.73E-13,965.2,0,-0.01958,-6.596,-9.108,-13.17,-18.87,-34.17,-34.96,0,-41.92,-31.05,-46.22,-38.33,-53.43,-51.25,-62.26,-66.1
4.97E-06,0.001416,6.97E-10,111.6,3.59E-13,962.4,1,-0.01973,-6.576,-9.077,-13.15,-18.88,-15.55,-31.1,0,-9.46,-12.42,-10.61,-12.22,-14.66,-16.22,-21.3,-23.68
4.41E-06,0.001489,2.25E-09,195,4.84E-13,932.1,1,-0.01973,-6.576,-9.077,-13.16,-18.89,-10.6,-21.19,0,-4.611,-2.688,-5.831,-2.622,-8.52,-3.774,-14.49,-9.211
6.93E-06,0.001406,6.53E-10,265.1,4.11E-13,480,1,-0.01968,-6.582,-9.106,-13.18,-18.88,-3.521,-6.971,0,-1.603,3.537,-4.725,0.128,-12.54,-11.32,-23.23,-27.07
7.84E-06,0.001023,1.28E-09,53.97,7.16E-13,1410,1,-0.01971,-6.581,-9.095,-13.17,-18.88,-23.12,-46.24,0,-12.1,-17.71,-13.16,-17.37,-16.27,-19.49,-22.84,-26.81
2.16E-06,0.002489,2.81E-09,944.3,2.20E-13,220.2,0,-0.01972,-6.581,-9.072,-13.13,-18.83,-39.29,-33.1,0,-46.57,-39.17,-49.31,-40.91,-52.1,-43.17,-54.56,-45.77
4.35E-06,0.0008723,2.97E-09,764.7,7.47E-13,21.78,0,-0.01964,-6.585,-9.09,-13.17,-18.89,3.208,13.32,1,-3.553,6.462,-6.596,3.089,-12.25,-3.881,-21.09,-15.97
3.58E-06,0.002198,7.10E-10,82.37,6.09E-14,927,1,-0.01974,-6.578,-9.065,-13.12,-18.84,-18.45,-36.92,0,-21.54,-36.55,-19.89,-30.77,-18.89,-24.8,-20.14,-21.66
4.33E-06,0.002312,2.97E-11,1075,2.22E-13,271.5,0,-0.01968,-6.584,-9.085,-13.16,-18.88,-47.64,-38.86,0,-50.27,-39.39,-51.35,-39.87,-54.2,-44.94,-58.68,-54.12
8.85E-06,0.0009648,2.88E-09,958.4,9.41E-13,532.3,0,-0.01957,-6.599,-9.109,-13.17,-18.87,-23.23,-17.05,0,-29.62,-18.39,-34.57,-27.83,-42.89,-41.66,-53.63,-58.17
2.03E-06,0.002489,2.26E-09,820.1,8.61E-13,415.1,0,-0.01973,-6.58,-9.071,-13.13,-18.83,-35.43,-32.42,0,-40.69,-33.24,-43.04,-35.46,-46.66,-39.04,-51.1,-43.53
5.19E-06,0.001501,9.24E-10,818.7,7.32E-13,103.8,0,-0.01965,-6.585,-9.091,-13.17,-18.88,-27.9,-17.71,0,-34.87,-23.44,-37.99,-27.36,-43.63,-36.16,-52.22,-49.71
7.67E-06,0.0009286,1.85E-09,988.5,8.97E-13,1437,0,-0.0196,-6.594,-9.106,-13.17,-18.87,-23.62,-21.83,0,-27.76,-15.66,-32.04,-23.65,-39.71,-36.52,-50.24,-52.83
7.73E-06,0.002023,1.39E-09,995,8.16E-13,354.7,0,-0.01959,-6.596,-9.108,-13.17,-18.87,-47.64,-39.25,0,-58.41,-45.9,-58.92,-50.45,-61.45,-58.4,-66.54,-69.35
1.14E-06,0.001099,1.67E-09,840.3,4.01E-13,303.6,0,-0.01974,-6.58,-9.069,-13.13,-18.82,-6.107,-5.017,0,-11.31,-8.273,-13.59,-10.23,-17.56,-14.07,-23.13,-19.51
7.64E-06,0.002468,1.68E-10,1194,5.78E-13,490.2,0,-0.0197,-6.598,-9.107,-13.17,-18.87,-51.2,-43.41,0,-53.08,-40.51,-56.08,-47.71,-60.95,-58.12,-67.17,-70.27
8.50E-06,0.001814,1.87E-09,679.8,6.21E-13,978.5,0,-0.01957,-6.599,-9.11,-13.17,-18.87,-34.46,-34.24,0,-40.02,-28.56,-44.71,-37.63,-52.5,-50.98,-61.99,-66.23
4.57E-06,0.0006201,2.14E-09,986.1,4.63E-13,139.5,0,-0.01964,-6.585,-9.094,-13.17,-18.89,5.137,14.32,1,-0.8176,9.561,-3.897,6.382,-10.14,-1.936,-19.62,-15.63
4.26E-06,0.0022,1.21E-09,373.3,8.55E-13,866.2,0,-0.01969,-6.583,-9.087,-13.16,-18.88,-10.84,-15.03,0,-9.993,-2.864,-12.82,-5.798,-18.15,-12.21,-26.69,-23.36
6.22E-06,0.000938,5.35E-10,962.9,3.26E-13,1189,0,-0.01963,-6.588,-9.097,-13.17,-18.88,-21.57,-20.68,0,-25.16,-12.97,-28.59,-18.29,-35.16,-29.37,-45.1,-44.97
3.33E-06,0.0006145,1.81E-09,1027,1.09E-13,979.6,0,-0.01971,-6.578,-9.077,-13.15,-18.87,-1.299,0.1983,1,-3.224,3.912,-4.572,4.731,-9.424,-0.152,-17.65,-10.96
6.87E-06,0.000585,2.74E-09,507,7.62E-13,1452,1,-0.01969,-6.591,-9.109,-13.18,-18.88,-4.431,-8.845,0,1.254,9.333,-3.146,3.375,-10.74,-7.661,-20.79,-22.28
8.06E-06,0.001666,4.07E-10,1412,4.34E-13,1235,0,-0.01959,-6.597,-9.109,-13.17,-18.87,-54.17,-50.22,0,-49.66,-36.65,-53.49,-45.18,-59.58,-56.97,-66.7,-70.09
6.34E-06,0.001233,5.41E-10,445.4,3.60E-13,499.1,1,-0.01966,-6.585,-9.109,-13.18,-18.88,-0.5919,-0.3477,1,-0.2765,7.64,-3.844,3.647,-11.72,-7.948,-22.6,-24.17
9.00E-06,0.001315,1.38E-09,1125,2.19E-13,779.6,0,-0.01956,-6.601,-9.11,-13.17,-18.87,-42.72,-37.79,0,-46.25,-34.6,-50.6,-43.51,-57.78,-56.68,-66,-70.96
8.00E-06,0.001254,2.35E-09,1256,2.02E-14,1430,0,-0.01958,-6.597,-9.106,-13.17,-18.87,-45,-43.35,0,-31.07,-28.39,-31.74,-27.81,-36.85,-34.81,-45.97,-49.58
5.07E-06,0.001416,7.07E-11,333.1,2.41E-13,158.2,1,-0.01966,-6.582,-9.088,-13.17,-18.89,2.407,5.183,1,-3.111,0.7837,-4.922,-0.07708,-10.49,-6.713,-20.33,-20.66
3.16E-06,0.00123,8.36E-11,308.1,8.18E-13,688.3,1,-0.01973,-6.579,-9.076,-13.14,-18.86,-5.448,-10.82,0,-3.426,-0.1662,-5.917,-2.608,-10.58,-7.742,-18.07,-16.85
8.94E-06,0.00133,2.00E-09,520,4.98E-14,780.8,0,-0.0196,-6.594,-9.108,-13.17,-18.87,-7.065,-8.02,0,-13.05,-11.9,-16.14,-12.75,-23.33,-22.59,-34.01,-39.12
1.20E-06,0.0007468,4.33E-10,1478,9.38E-13,364.5,0,-0.01974,-6.58,-9.069,-13.13,-18.82,-17.53,-11.99,0,-23.18,-15.11,-25.67,-17.61,-29.76,-21.95,-35.58,-28.65
2.52E-06,0.001937,2.90E-09,1037,7.49E-14,42.99,0,-0.01971,-6.581,-9.073,-13.14,-18.84,-37.44,-27.56,0,-43.84,-33.98,-45.89,-36.07,-48.64,-39.03,-51.93,-43.14
3.79E-06,0.000577,1.01E-09,1405,9.71E-13,1157,0,-0.01969,-6.582,-9.08,-13.15,-18.87,-13.03,-8.472,0,-17.13,-4.672,-19.91,-8.04,-24.85,-14.89,-32.69,-26.63
3.90E-06,0.0005353,9.05E-11,649,7.80E-14,996.5,1,-0.01972,-6.576,-9.071,-13.15,-18.87,-2.191,-4.334,0,-4.191,-1.842,-3.812,1.508,-7.829,-1.882,-16.56,-13.54
3.42E-06,0.001404,6.72E-10,1121,3.30E-14,868.3,0,-0.01969,-6.582,-9.078,-13.15,-18.86,-36.93,-33.74,0,-40.54,-36.26,-40.59,-34.36,-43.4,-34.9,-49.32,-42.28
5.26E-06,0.001979,2.84E-09,33.75,9.08E-13,951.5,1,-0.01973,-6.577,-9.074,-13.16,-18.9,-24.66,-49.33,0,-11.04,-15.61,-7.742,-6.59,-5.667,1.456,-13.56,-7.718
4.37E-06,0.001045,1.50E-09,1178,1.42E-13,397.2,0,-0.01967,-6.583,-9.084,-13.16,-18.87,-30.33,-22.64,0,-38.33,-28.29,-42.14,-30.84,-47.26,-37.61,-53.85,-48.71
7.88E-06,0.002065,1.00E-09,642.8,8.22E-13,423.5,0,-0.01958,-6.596,-9.108,-13.17,-18.87,-33.72,-29.08,0,-40.63,-29.26,-44.96,-37.32,-52.37,-50.04,-61.61,-65.07
9.04E-06,0.001331,2.34E-09,274.4,5.91E-13,1458,1,-0.01968,-6.599,-9.12,-13.18,-18.87,-9.671,-19.29,0,0.1699,7.306,-5.473,-1.271,-14.11,-14.49,-24.37,-29.38
7.81E-06,0.002446,2.37E-09,236.8,7.92E-13,527.6,1,-0.01966,-6.596,-9.12,-13.18,-18.88,-5.148,-9.451,0,-1.424,5.797,-6.104,-0.5108,-14.09,-12.18,-24.27,-26.73
7.68E-06,0.001321,7.83E-10,869.1,4.48E-13,342.1,0,-0.01959,-6.595,-9.106,-13.17,-18.87,-30.1,-22.68,0,-38.27,-26.55,-42.56,-34.14,-49.92,-46.86,-59.4,-62.22
4.47E-06,0.002498,2.33E-09,654,9.76E-13,241.9,0,-0.01966,-6.584,-9.085,-13.16,-18.88,-34.37,-28.18,0,-40.6,-29.84,-43.3,-32.95,-48.02,-39.62,-54.89,-50.26
6.69E-06,0.001292,2.74E-09,587.5,5.55E-13,222.3,0,-0.01961,-6.591,-9.104,-13.18,-18.88,-6.455,-0.1358,0,-11.96,-1.797,-15.73,-6.973,-22.95,-18.26,-33.29,-33.67
9.31E-06,0.0008165,2.44E-09,127.9,2.26E-13,23.59,1,-0.0196,-6.594,-9.107,-13.17,-18.87,-0.1976,-0.4475,1,-6.937,-7.353,-9.879,-10.7,-15.22,-17.23,-23.84,-28.88
6.46E-06,0.001962,2.79E-09,803.8,8.92E-13,223.7,0,-0.01962,-6.59,-9.1,-13.17,-18.88,-37.75,-29.11,0,-45.93,-33.56,-49.22,-39.22,-54.66,-49.14,-61.6,-61.45
2.97E-06,0.002228,2.12E-09,855.9,6.05E-13,406.1,0,-0.0197,-6.581,-9.076,-13.14,-18.85,-37.57,-32.76,0,-43.78,-33.74,-46.08,-35.87,-49.54,-39.85,-53.86,-45.98
5.27E-06,0.002181,1.25E-09,1433,5.25E-13,420.7,0,-0.01979,-6.592,-9.094,-13.17,-18.88,-48.98,-39.98,0,-55.89,-42.23,-56.88,-45.04,-58.6,-50.86,-62.55,-60.25
4.06E-06,0.001478,1.48E-10,381.6,2.77E-13,1265,1,-0.01972,-6.576,-9.082,-13.16,-18.88,-7.896,-15.19,0,-2.465,2.736,-4.34,1.865,-9.812,-4.561,-18.9,-16.81
1.13E-06,0.001689,2.42E-09,500,7.33E-13,1303,1,-0.01975,-6.58,-9.069,-13.13,-18.81,-10.07,-18.98,0,-11.85,-15.44,-14.16,-17.58,-17.64,-20.51,-21.38,-22.48
5.12E-06,0.0006868,1.27E-09,977,5.76E-13,330.6,0,-0.01965,-6.586,-9.095,-13.17,-18.88,-0.4246,6.678,1,-5.047,6.283,-8.418,2.016,-14.83,-7.463,-24.59,-22.13
5.94E-06,0.002414,2.01E-09,45.29,1.67E-13,1314,1,-0.01973,-6.574,-9.064,-13.17,-18.9,-25.39,-50.8,0,-16.9,-27.27,-10.8,-12.66,-7.368,-1.879,-15.64,-12.1
2.79E-06,0.00136,7.89E-10,1478,7.34E-15,744,0,-0.01971,-6.581,-9.075,-13.14,-18.85,-42.99,-37.37,0,-40.64,-35.02,-37.88,-32.28,-37.16,-31.69,-39.9,-35.06
7.99E-06,0.0005265,1.61E-09,843.2,6.59E-13,1424,1,-0.01966,-6.606,-9.119,-13.18,-18.87,-0.6847,-1.186,1,2.396,12.59,-3.621,3.163,-12.6,-10.91,-23.83,-27.93
